iter	Accuracy	Logloss
120	0.9169472503	0.2626423856
121	0.9169472503	0.2624637815
122	0.9169472503	0.2605571967
123	0.9180695847	0.2586425952
124	0.9169472503	0.2573100601
125	0.9180695847	0.2566444953
126	0.9203142536	0.255225991
127	0.9203142536	0.2538086382
128	0.9191919192	0.2532634935
129	0.9203142536	0.2513577787
130	0.9203142536	0.249753494
131	0.9214365881	0.2490393487
132	0.9214365881	0.2487864343
133	0.9214365881	0.2482812928
134	0.923681257	0.2468697932
135	0.923681257	0.245879972
136	0.923681257	0.245013288
137	0.923681257	0.244512607
138	0.9259259259	0.2429250496
139	0.9259259259	0.2420969295
140	0.9281705948	0.2408380942
141	0.9270482604	0.239803643
142	0.9270482604	0.239333143
143	0.9270482604	0.2388657746
144	0.9281705948	0.2381819474
145	0.9281705948	0.2377519408
146	0.9270482604	0.2364282088
147	0.9259259259	0.2351671597
148	0.9248035915	0.2349842448
149	0.9259259259	0.2344641985
150	0.9292929293	0.2328358344
151	0.9292929293	0.231402573
152	0.9281705948	0.2311386407
153	0.9281705948	0.2296335151
154	0.9281705948	0.2295667615
155	0.9292929293	0.2289632692
156	0.9292929293	0.2289257925
157	0.9304152637	0.2282614819
158	0.9315375982	0.2278413148
159	0.9315375982	0.2276476847
160	0.9315375982	0.2263466779
161	0.9326599327	0.2247159709
162	0.9315375982	0.2245868248
163	0.9326599327	0.2234722923
164	0.9326599327	0.2227400171
165	0.9337822671	0.2215003182
166	0.9349046016	0.2189001446
167	0.9337822671	0.2181497249
168	0.9349046016	0.2179041217
169	0.9382716049	0.2165653936
170	0.9371492705	0.2153907595
171	0.9382716049	0.2150203716
172	0.9393939394	0.2145548792
173	0.9405162738	0.2135384853
174	0.9405162738	0.2133265217
175	0.9405162738	0.2127208304
176	0.9393939394	0.2118632347
177	0.9393939394	0.2116104606
178	0.9393939394	0.2111489226
179	0.9416386083	0.2104552329
180	0.9416386083	0.2100802107
181	0.9416386083	0.2091440486
182	0.9427609428	0.2087246138
183	0.9427609428	0.2080012101
184	0.9416386083	0.2071270977
185	0.9416386083	0.2065872084
186	0.9416386083	0.206236418
187	0.9416386083	0.2052199894
188	0.9427609428	0.204810073
189	0.9427609428	0.2046074204
190	0.9416386083	0.2032029428
191	0.9427609428	0.2029197298
192	0.9427609428	0.2026435353
193	0.9416386083	0.2022275579
194	0.9416386083	0.2019136034
195	0.9416386083	0.2016785726
196	0.9427609428	0.2010495018
197	0.9427609428	0.2003644331
198	0.9427609428	0.1994367627
199	0.9427609428	0.1985715084
200	0.9427609428	0.1979654221
201	0.9427609428	0.1969392961
202	0.9427609428	0.1968107104
203	0.9427609428	0.1965416781
204	0.9438832772	0.1959209744
205	0.9438832772	0.1951836049
206	0.9438832772	0.1948208835
207	0.9438832772	0.1946631696
208	0.9450056117	0.1937319402
209	0.9461279461	0.1931648129
210	0.9461279461	0.1928449784
211	0.9461279461	0.1925629557
212	0.9461279461	0.1922825886
213	0.9461279461	0.1919811815
214	0.9461279461	0.1913031678
215	0.9461279461	0.1911268011
216	0.9461279461	0.1907772958
217	0.9494949495	0.1900204023
218	0.9494949495	0.1897965058
219	0.948372615	0.1884399636
220	0.948372615	0.1873906009
221	0.9494949495	0.187188716
222	0.9494949495	0.1870780925
223	0.9494949495	0.1870187526
224	0.9494949495	0.1869522508
225	0.9517396184	0.1863660846
226	0.950617284	0.1861604949
227	0.950617284	0.1851940389
228	0.948372615	0.1842623589
229	0.948372615	0.1833542699
230	0.948372615	0.1817798836
231	0.948372615	0.1816189792
232	0.950617284	0.1804961277
233	0.9494949495	0.1798423744
234	0.950617284	0.1790808161
235	0.950617284	0.1782191329
236	0.9517396184	0.1768080254
237	0.9517396184	0.1765771412
238	0.950617284	0.1762278658
239	0.950617284	0.1753054856
240	0.950617284	0.1745046842
241	0.9539842873	0.1739951621
242	0.9539842873	0.1729111477
243	0.9539842873	0.1727097611
244	0.9539842873	0.1725195296
245	0.9539842873	0.1722220352
246	0.9539842873	0.1720786971
247	0.9528619529	0.1715481294
248	0.9539842873	0.1713522548
249	0.9539842873	0.1711315976
250	0.9539842873	0.1707692336
251	0.9551066218	0.17030175
252	0.9539842873	0.1701211871
253	0.9551066218	0.1700309542
254	0.9551066218	0.1696438955
255	0.9551066218	0.1690759588
256	0.9584736251	0.1685511854
257	0.9573512907	0.1681667837
258	0.9573512907	0.1677018846
259	0.9584736251	0.1673817468
260	0.9584736251	0.167070647
261	0.9584736251	0.1669148338
262	0.9584736251	0.1664736198
263	0.9584736251	0.1660733353
264	0.9607182941	0.1649531471
265	0.9618406285	0.1646257821
266	0.962962963	0.1641202176
267	0.962962963	0.163825261
268	0.9618406285	0.1633939184
269	0.9618406285	0.1632289998
270	0.962962963	0.1630115074
271	0.962962963	0.1625987262
272	0.962962963	0.1621858845
273	0.9640852974	0.1614758515
274	0.9640852974	0.160560073
275	0.9640852974	0.1601951732
276	0.9640852974	0.1598219398
277	0.9640852974	0.1593215967
278	0.9640852974	0.1590760981
279	0.9652076319	0.158816687
280	0.9652076319	0.1581892482
281	0.9652076319	0.1577676341
282	0.9652076319	0.1571710118
283	0.9652076319	0.1568755222
284	0.9652076319	0.1567577089
285	0.9652076319	0.1564458811
286	0.9640852974	0.1562538159
